ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Fish M.,Stoliarov A.,134,110,6,4,2,6,7,6,,,,,2,1,Completed,,,1.6,2.2,1.67,2,1.6,1.9,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Arthurs W.,23,84,6,7,6,3,7,6,,,,,2,1,Completed,,,1.4,2.7,1.37,2.7,1.4,2.3,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Hipfl M.,Savolt A.,74,85,7,5,7,5,,,,,,,2,0,Completed,,,1.65,2.1,1.57,2.15,1.5,2.1,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Lee H.T.,Sanchez D.,93,66,6,2,6,3,,,,,,,2,0,Completed,,,1.48,2.5,1.5,2.33,1.55,2,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Llodra M.,Calatrava A.,113,101,5,0,,,,,,,,,0,0,Retired,,,1.85,1.85,1.81,1.81,1.65,1.85,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Lopez F.,Woodruff C.,144,156,6,7,6,3,6,4,,,,,2,1,Completed,,,,,2.3,1.5,1.9,1.6,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Massu N.,Morrison J.,56,141,6,4,6,4,,,,,,,2,0,Completed,,,1.6,2.2,1.6,2.1,1.55,2,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Nieminen J.,Goldstein P.,68,174,6,1,6,2,,,,,,,2,0,Completed,,,1.67,2.05,1.64,2.05,1.65,1.85,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Pless K.,Delgado R.,75,80,6,4,6,3,,,,,,,2,0,Completed,,,1.55,2.3,1.6,2.1,1.55,2,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Roddick A.,Davydenko N.,13,86,6,4,6,1,,,,,,,2,0,Completed,,,1.12,5.25,1.12,4.8,1.1,4.5,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Russell M.,Koubek S.,92,50,3,6,6,3,6,2,,,,,2,1,Completed,,,,,2.3,1.5,2.1,1.5,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Sa A.,Verkerk M.,88,128,6,4,6,4,,,,,,,2,0,Completed,,,,,1.5,2.3,1.5,2.1,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Sanguinetti D.,Rochus C.,60,76,0,6,6,4,6,1,,,,,2,1,Completed,,,1.48,2.5,1.45,2.5,1.35,2.5,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,1st Round,3,Srichaphan P.,Vacek J.,72,78,5,7,6,4,6,4,,,,,2,1,Completed,,,1.57,2.25,1.6,2.1,1.55,2,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,2nd Round,3,Dupuis A.,Nieminen J.,82,68,2,6,7,6,6,1,,,,,2,1,Completed,,,2.1,1.65,2.1,1.6,2,1.55,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,2nd Round,3,Gambill J.M.,Fish M.,23,134,6,3,6,7,6,1,,,,,2,1,Completed,,,1.33,3.1,1.28,3.1,1.25,3,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,2nd Round,3,Llodra M.,Hipfl M.,113,74,6,3,6,4,,,,,,,2,0,Completed,,,1.6,2.2,1.6,2.1,1.5,2.1,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,2nd Round,3,Lopez F.,Russell M.,144,92,4,6,6,3,6,4,,,,,2,1,Completed,,,1.85,1.85,1.85,1.75,1.8,1.7,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,2nd Round,3,Roddick A.,Lee H.T.,13,93,7,5,6,2,,,,,,,2,0,Completed,,,1.14,4.75,1.1,5.2,1.15,3.8,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,2nd Round,3,Sa A.,Burgsmuller L.,88,79,7,6,7,5,,,,,,,2,0,Completed,,,1.95,1.75,1.75,1.85,1.8,1.7,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,2nd Round,3,Sanguinetti D.,Pless K.,60,75,6,3,6,2,,,,,,,2,0,Completed,,,1.6,2.2,1.52,2.25,1.5,2.1,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,2nd Round,3,Srichaphan P.,Massu N.,72,56,2,1,,,,,,,,,0,0,Retired,,,1.85,1.85,1.78,1.85,1.75,1.75,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,Quarterfinals,3,Dupuis A.,Lopez F.,82,144,7,6,7,6,,,,,,,2,0,Completed,,,1.6,2.2,1.55,2.15,1.5,2.1,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,Quarterfinals,3,Gambill J.M.,Sa A.,23,88,6,7,6,4,6,4,,,,,2,1,Completed,,,1.36,2.9,1.35,2.75,1.3,2.7,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,Quarterfinals,3,Roddick A.,Llodra M.,13,113,4,6,6,4,6,4,,,,,2,1,Completed,,,,,,,,,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,Quarterfinals,3,Sanguinetti D.,Srichaphan P.,60,72,6,4,3,6,6,3,,,,,2,1,Completed,,,,,,,,,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,Semifinals,3,Roddick A.,Dupuis A.,13,82,7,6,6,4,,,,,,,2,0,Completed,,,1.16,4.5,1.15,4.25,1.15,3.8,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,Semifinals,3,Sanguinetti D.,Gambill J.M.,60,23,7,6,6,3,,,,,,,2,0,Completed,,,2.2,1.6,2.1,1.6,2.1,1.5,,
17,Delray Beach,Citrix Tennis Championships,3/4/02,International,Outdoor,Hard,The Final,3,Sanguinetti D.,Roddick A.,60,13,6,4,4,6,6,4,,,,,2,1,Completed,,,3.6,1.25,3.7,1.2,2.7,1.3,3.5,1.25
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Agassi A.,Clavet F.,5,54,6,3,6,2,,,,,,,2,0,Completed,,,1.22,3.85,1.15,4.25,1.15,3.8,1.25,3.75
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Balcells J.,Blanco G.,123,77,7,6,6,3,,,,,,,2,0,Completed,,,1.48,2.45,1.53,2.2,1.4,2.3,1.533,2.375
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Chela J.I.,Ginepri R.,41,151,5,7,7,6,6,4,,,,,2,1,Completed,,,1.52,2.4,1.55,2.2,1.55,2,1.533,2.375
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Corretja A.,Kohlmann M.,18,114,6,3,7,5,,,,,,,2,0,Completed,,,1.45,2.55,1.46,2.4,1.5,2.1,,
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Ferreira W.,Mamiit C.,48,108,2,6,6,3,6,2,,,,,2,1,Completed,,,1.4,2.8,1.41,2.54,1.35,2.5,1.5,2.5
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Gaudenzi A.,Blake J.,52,49,7,6,6,3,,,,,,,2,0,Completed,,,4.25,1.18,3.45,1.23,3,1.25,3.5,1.286
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Kratochvil M.,Canas G.,44,17,6,3,3,6,6,3,,,,,2,1,Completed,,,2.3,1.57,2.3,1.5,2.1,1.5,2.25,1.571
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Malisse X.,Joyce M.,32,215,6,1,6,2,,,,,,,2,0,Completed,,,1.22,3.75,1.17,4,1.2,3.3,,
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Mantilla F.,Lee M.,33,96,6,2,6,7,7,5,,,,,2,1,Completed,,,1.4,2.7,1.32,2.9,1.3,2.7,1.333,3
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Moya C.,Haas T.,25,6,6,2,6,7,6,3,,,,,2,1,Completed,,,2.4,1.53,2.35,1.47,2.2,1.45,2.375,1.533
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Okun N.,Meligeni F.,112,59,7,6,6,4,,,,,,,2,0,Completed,,,2.15,1.62,2.1,1.6,1.9,1.6,2.2,1.615
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Portas A.,Saretta F.,26,99,6,3,7,5,,,,,,,2,0,Completed,,,1.8,1.9,1.66,2,1.6,1.9,1.833,1.833
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Rusedski G.,Squillari F.,37,55,4,6,6,1,7,5,,,,,2,1,Completed,,,1.2,4,1.18,3.9,1.15,3.8,1.25,3.5
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Sampras P.,Black B.,12,175,6,1,6,2,,,,,,,2,0,Completed,,,1.14,5,1.12,4.8,1.1,4.5,1.167,4.5
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Schuettler R.,Schalken S.,40,28,6,4,2,6,6,2,,,,,2,1,Completed,,,1.67,2.1,1.7,1.95,1.65,1.85,1.727,2
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,1st Round,3,Vicente F.,Zabaleta M.,69,62,5,7,6,3,6,4,,,,,2,1,Completed,,,2.15,1.62,2.2,1.55,2,1.55,2.25,1.571
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,2nd Round,3,Agassi A.,Rusedski G.,5,37,6,4,6,4,,,,,,,2,0,Completed,,,1.33,3.1,1.35,2.75,1.25,3,1.333,3.25
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,2nd Round,3,Balcells J.,Kratochvil M.,123,44,6,3,6,4,,,,,,,2,0,Completed,,,2.5,1.48,2.25,1.52,2.1,1.5,2.625,1.444
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,2nd Round,3,Chela J.I.,Corretja A.,41,18,6,4,7,5,,,,,,,2,0,Completed,,,2.05,1.67,2.12,1.58,2,1.55,2.25,1.571
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,2nd Round,3,Ferreira W.,Sampras P.,48,12,7,5,7,5,,,,,,,2,0,Completed,,,3.1,1.33,3.55,1.22,3.3,1.2,3,1.333
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,2nd Round,3,Malisse X.,Gaudenzi A.,32,52,7,5,7,6,,,,,,,2,0,Completed,,,1.25,3.5,1.2,3.7,1.25,3,1.222,3.75
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,2nd Round,3,Moya C.,Vicente F.,25,69,2,6,6,2,6,2,,,,,2,1,Completed,,,1.38,2.8,1.3,3,1.3,2.7,1.364,3
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,2nd Round,3,Okun N.,Portas A.,112,26,7,6,6,4,,,,,,,2,0,Completed,,,2.05,1.67,2.12,1.58,2.1,1.5,2.2,1.615
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,2nd Round,3,Schuettler R.,Mantilla F.,40,33,6,0,2,6,6,1,,,,,2,1,Completed,,,1.45,2.55,1.42,2.5,1.45,2.2,1.533,2.375
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,Quarterfinals,3,Agassi A.,Chela J.I.,5,41,7,5,6,7,6,1,,,,,2,1,Completed,,,1.2,4,1.2,3.7,1.1,4.5,1.143,5
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,Quarterfinals,3,Balcells J.,Okun N.,123,112,6,4,4,6,6,3,,,,,2,1,Completed,,,1.6,2.2,1.57,2.15,1.55,2,1.667,2.1
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,Quarterfinals,3,Malisse X.,Ferreira W.,32,48,7,5,6,2,,,,,,,2,0,Completed,,,1.72,2,1.7,1.95,1.7,1.8,1.8,1.909
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,Quarterfinals,3,Schuettler R.,Moya C.,40,25,6,3,3,6,6,2,,,,,2,1,Completed,,,1.9,1.8,1.95,1.7,1.9,1.6,1.909,1.8
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,Semifinals,3,Agassi A.,Malisse X.,5,32,6,4,6,4,,,,,,,2,0,Completed,,,1.28,3.3,1.25,3.3,1.25,3,1.25,3.5
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,Semifinals,3,Balcells J.,Schuettler R.,123,40,6,3,6,1,,,,,,,2,0,Completed,,,3,1.35,3,1.3,2.5,1.35,,
18,Scottsdale,Franklin Templeton Tennis Classic,3/4/02,International,Outdoor,Hard,The Final,3,Agassi A.,Balcells J.,5,123,6,2,7,6,,,,,,,2,0,Completed,,,1.12,5.5,1.15,4.25,1.1,4.5,1.111,6
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Boutter J.,Hrbaty D.,63,57,6,1,6,4,,,,,,,2,0,Completed,,,1.85,1.85,1.8,1.8,1.75,1.75,2,1.727
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Chela J.I.,Mirnyi M.,41,39,4,6,6,2,7,5,,,,,2,1,Completed,,,1.8,1.95,1.8,1.8,1.8,1.7,1.833,1.833
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Corretja A.,Gaudenzi A.,18,53,6,2,6,4,,,,,,,2,0,Completed,,,1.45,2.6,1.57,2.1,1.45,2.2,1.444,2.625
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Costa A.,Ulihrach B.,30,40,6,1,3,6,6,3,,,,,2,1,Completed,,,1.9,1.8,1.83,1.77,1.75,1.75,2.1,1.667
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Enqvist T.,Johansson T.,22,9,7,6,2,6,6,4,,,,,2,1,Completed,,,1.9,1.85,1.8,1.8,1.85,1.65,2,1.727
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Escude N.,Schalken S.,23,28,6,3,6,0,,,,,,,2,0,Completed,,,1.4,2.7,1.52,2.2,1.4,2.3,1.444,2.625
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Federer R.,Malisse X.,14,33,6,7,7,6,6,3,,,,,2,1,Completed,,,1.42,2.7,1.57,2.1,1.5,2.1,1.444,2.625
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Gambill J.M.,Blake J.,27,49,3,6,6,3,6,2,,,,,2,1,Completed,,,1.75,2,1.77,1.83,1.55,2,1.8,1.909
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Gaudio G.,Canas G.,62,17,6,4,6,2,,,,,,,2,0,Completed,,,2.2,1.6,2.02,1.62,2,1.55,2.25,1.571
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Gonzalez F.,Mantilla F.,60,32,7,5,6,2,,,,,,,2,0,Completed,,,,,,,,,,
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Haas T.,Sanchez D.,6,66,6,3,7,5,,,,,,,2,0,Completed,,,1.17,4.4,1.15,4.25,1.15,3.8,1.222,4
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Henman T.,Robredo T.,11,34,6,2,6,7,6,4,,,,,2,1,Completed,,,1.3,3.15,1.37,2.6,1.2,3.3,1.286,3.25
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Hewitt L.,Moya C.,1,24,6,4,6,4,,,,,,,2,0,Completed,,,1.28,3.4,1.37,2.6,1.25,3,1.286,3.5
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Kafelnikov Y.,Bjorkman J.,3,48,7,5,6,3,,,,,,,2,0,Completed,,,1.33,3,1.42,2.45,1.25,3,1.4,2.75
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Dent T.,47,96,7,6,6,3,,,,,,,2,0,Completed,,,2.1,1.65,1.85,1.75,1.9,1.6,2.1,1.667
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Koubek S.,El Aynaoui Y.,51,21,7,6,6,3,,,,,,,2,0,Completed,,,3,1.35,2.6,1.37,3,1.25,3,1.333
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Kratochvil M.,Agassi A.,44,5,7,6,7,6,,,,,,,2,0,Completed,,,5.5,1.11,5.25,1.1,4.5,1.1,5.5,1.125
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Kucera K.,Lapentti N.,84,19,6,2,6,3,,,,,,,2,0,Completed,,,2.1,1.67,2.02,1.62,2.2,1.45,2.25,1.571
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Martin T.,Arthurs W.,64,97,6,1,7,6,,,,,,,2,0,Completed,,,1.35,3,1.47,2.3,1.35,2.5,1.4,2.75
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Nalbandian D.,Clement A.,46,43,7,6,6,3,,,,,,,2,0,Completed,,,2.25,1.57,1.85,1.75,1.9,1.6,2.2,1.615
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Novak J.,Rochus O.,15,71,5,7,7,5,6,2,,,,,2,1,Completed,,,1.33,3.1,1.4,2.5,1.3,2.7,1.364,2.875
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Pavel A.,Blanco G.,31,77,7,6,6,4,,,,,,,2,0,Completed,,,1.26,3.5,1.32,2.8,1.25,3,1.222,3.75
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Rios M.,Ljubicic I.,35,29,7,6,7,5,,,,,,,2,0,Completed,,,1.8,1.95,1.8,1.8,1.8,1.7,1.727,2
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Rusedski G.,Ferrero J.C.,38,4,6,4,6,3,,,,,,,2,0,Completed,,,1.67,2.1,1.75,1.85,1.6,1.9,1.667,2.1
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Safin M.,Martin A.,8,36,6,3,7,6,,,,,,,2,0,Completed,,,1.2,4,1.32,2.8,1.25,3,1.25,3.75
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Sampras P.,Fish M.,13,141,7,6,6,2,,,,,,,2,0,Completed,,,,,1.12,4.72,1.1,4.5,1.167,4.5
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Santoro F.,Grosjean S.,20,7,6,3,4,6,7,5,,,,,2,1,Completed,,,2,1.72,1.83,1.77,1.85,1.65,2,1.727
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Savolt A.,Ferreira W.,85,45,7,6,7,6,,,,,,,2,0,Completed,,,,,2.6,1.37,3,1.25,3.25,1.333
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Schuettler R.,Zabaleta M.,37,61,6,2,6,1,,,,,,,2,0,Completed,,,,,,,,,,
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Squillari F.,Portas A.,55,25,5,7,6,4,6,4,,,,,2,1,Completed,,,1.75,1.95,1.8,1.8,1.75,1.75,1.833,1.833
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Srichaphan P.,Chang M.,68,93,6,4,2,6,6,3,,,,,2,1,Completed,,,1.55,2.3,1.65,1.98,1.5,2.1,1.571,2.25
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,1st Round,3,Vicente F.,Clavet F.,69,79,7,5,6,3,,,,,,,2,0,Completed,,,,,1.8,1.8,1.8,1.7,2.1,1.667
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Boutter J.,Rusedski G.,63,38,6,7,6,3,6,4,,,,,2,1,Completed,,,2.5,1.48,2.45,1.45,2.2,1.45,2.5,1.5
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Chela J.I.,Corretja A.,41,18,6,4,6,0,,,,,,,2,0,Completed,,,1.75,1.95,1.8,1.85,1.85,1.65,1.727,2
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Enqvist T.,Savolt A.,22,85,2,6,6,4,6,2,,,,,2,1,Completed,,,1.18,4.35,1.15,4.25,1.1,4.5,1.167,4.5
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Koubek S.,14,51,6,4,6,4,,,,,,,2,0,Completed,,,1.25,3.65,1.2,3.75,1.25,3,1.25,3.5
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Gambill J.M.,Novak J.,27,15,6,3,6,2,,,,,,,2,0,Completed,,,1.85,1.85,1.85,1.8,1.75,1.75,1.909,1.8
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Gaudio G.,Gonzalez F.,62,60,6,2,7,5,,,,,,,2,0,Completed,,,1.9,1.8,1.9,1.75,1.75,1.75,2,1.727
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Henman T.,Escude N.,11,23,6,2,7,6,,,,,,,2,0,Completed,,,2.2,1.6,2,1.67,1.9,1.6,2.1,1.667
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Hewitt L.,Pavel A.,1,31,4,6,6,3,6,0,,,,,2,1,Completed,,,1.16,4.75,1.15,4.25,1.1,4.5,1.222,3.75
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Kafelnikov Y.,Vicente F.,3,69,6,3,7,6,,,,,,,2,0,Completed,,,1.25,3.65,1.22,3.55,1.25,3,1.222,3.75
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Kucera K.,Squillari F.,84,55,6,4,6,2,,,,,,,2,0,Completed,,,1.42,2.65,1.45,2.45,1.4,2.3,1.5,2.5
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Martin T.,Haas T.,64,6,6,4,6,2,,,,,,,2,0,Completed,,,2.2,1.6,2.2,1.55,1.9,1.6,2.25,1.571
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Rios M.,Kratochvil M.,35,44,6,4,6,2,,,,,,,2,0,Completed,,,1.55,2.3,1.55,2.2,1.55,2,1.615,2.2
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Safin M.,Srichaphan P.,8,68,7,5,6,1,,,,,,,2,0,Completed,,,1.22,3.75,1.22,3.55,1.3,2.7,1.25,3.5
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Sampras P.,Costa A.,13,30,6,4,6,4,,,,,,,2,0,Completed,,,1.22,4,1.17,4,1.15,3.8,1.222,4
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Santoro F.,Kiefer N.,20,47,7,6,6,1,,,,,,,2,0,Completed,,,1.43,2.6,1.4,2.6,1.35,2.5,1.444,2.625
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,2nd Round,3,Schuettler R.,Nalbandian D.,37,46,4,6,6,4,6,2,,,,,2,1,Completed,,,1.57,2.25,1.45,2.45,1.45,2.2,1.533,2.375
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,3rd Round,3,Enqvist T.,Federer R.,22,14,6,4,6,3,,,,,,,2,0,Completed,,,1.95,1.8,1.9,1.75,2,1.55,1.909,1.8
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,3rd Round,3,Gaudio G.,Boutter J.,62,63,7,6,2,6,6,1,,,,,2,1,Completed,,,2,1.75,2.1,1.6,1.85,1.65,2,1.727
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,3rd Round,3,Henman T.,Safin M.,11,8,7,6,6,4,,,,,,,2,0,Completed,,,2.15,1.65,2,1.67,1.8,1.7,2.2,1.615
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,3rd Round,3,Hewitt L.,Gambill J.M.,1,27,6,2,6,4,,,,,,,2,0,Completed,,,1.3,3.2,1.3,3,1.3,2.7,1.364,2.875
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,3rd Round,3,Kafelnikov Y.,Chela J.I.,3,41,7,6,6,4,,,,,,,2,0,Completed,,,1.52,2.35,1.47,2.35,1.45,2.2,1.444,2.625
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,3rd Round,3,Martin T.,Kucera K.,64,84,7,5,6,2,,,,,,,2,0,Completed,,,1.4,2.75,1.4,2.6,1.35,2.5,1.444,2.625
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,3rd Round,3,Sampras P.,Santoro F.,13,20,6,3,3,6,7,5,,,,,2,1,Completed,,,1.3,3.2,1.3,3,1.3,2.7,1.333,3
19,Indian Wells,Pacific Life Open,3/11/02,Masters,Outdoor,Hard,3rd Round,3,Schuettler R.,Rios M.,37,35,6,2,6,2,,,,,,,2,0,Completed,,,2.35,1.52,2.1,1.6,1.9,1.6,2.1,1.667
